,MSE,RMSE,MAE,MAPE,R2
LINEAR_REGRESSION,0.943922998070459,0.971556996820289,0.7469526027615394,0.0017072771889030938,0.9995824891857533
LASSO,21.3941162140158,4.625377413143256,4.088119241206499,0.009103539042191518,0.9905370725166566
ARIMA,2347.289157833983,48.44883030408457,43.712406315844,0.09953942373982275,-0.03823999368899389
GRADIENT_BOOSTING,11976.232830682888,109.43597594339299,98.87879140845375,0.2129836431710018,-4.2972612500882
RANDOM_FOREST,12244.120280307723,110.65315305181197,99.91051073181691,0.21513705059725213,-4.415751749258103
LSTM_1d,116208.8312520277,340.89416429740726,337.1760825427202,0.74270668428475,-45.11094429439978
LSTM_5d,116565.04289469296,341.41623115296227,337.6862908380682,0.7428382364053011,-45.03615296448905
LSTM_30d,123400.63479186427,351.28426493633935,347.507421081543,0.7585696663263293,-45.74615117767593
SVR,1052378.3374318485,1025.8549300129373,857.6618343104597,1.8168149278467012,-464.48218176149993
